spp,size,family,fg,habitat,Included
Mulloidichthys vanicolensis,38,Mullidae,Pisci-invertivore,Reef,1
Mycteroperca bonaci,150,Serranidae,Piscivore,Reef,1
Mycteroperca interstitialis,84,Serranidae,Piscivore,Reef,1
Mycteroperca tigris,101,Serranidae,Piscivore,Reef,1
Mycteroperca venenosa,100,Serranidae,Piscivore,Reef,1
Mycteroperce institialis,84,Serranidae,Piscivore,Reef,1
Myrichthys breviceps,102,Ophichthidae,Pisci-invertivore,Reef,1
Myrichthys magnificus,78,Ophichthidae,Pisci-invertivore,Reef,1
Carcharhinus perezi,250,Carcharhinidae,Piscivore,Unknown,0
Triaenodon obesus,213,Carcharhinidae,Piscivore,Unknown,0
Chanos chanos,180,Chanidae,NA,Pelagic,0
Spratelloides delicatulus,7,Clupeidae,NA,Pelagic,0
Echeneis neucratoides,75,Echeneidae,NA,Pelagic,0
Echeneis neucratoides,75,Echeneidae,NA,Pelagic,0
Encrasicholina purpurea,7.5,Engraulidae,NA,Pelagic,0
Chaetodipterus faber,91,Ephippidae,NA,Pelagic,0
Platax batavianus,65,Ephippidae,NA,Pelagic,0
Platax orbicularis,60,Ephippidae,NA,Pelagic,0
Platax sp,60,Ephippidae,NA,Pelagic,0
Platax sp,60,Ephippidae,NA,Pelagic,0
Platax teira,70,Ephippidae,NA,Pelagic,0
Naso annulatus,100,Acanthuridae,Planktivore,Reef,1
Naso brachycentron,90,Acanthuridae,Browser,Reef,1
Naso brevirostris,60,Acanthuridae,Planktivore,Reef,1
Naso brevirostris,60,Acanthuridae,Planktivore,Reef,1
Naso caesius,45.6,Acanthuridae,Planktivore,Reef,1
Naso hexacanthus,75,Acanthuridae,Planktivore,Reef,1
Naso lituratus,46,Acanthuridae,Browser,Reef,1
Naso lopezi,60,Acanthuridae,Planktivore,Reef,1
Naso maculatus,60,Acanthuridae,Planktivore,Reef,1
Naso sp,60,Acanthuridae,Planktivore,Reef,1
Naso thynnoides,40,Acanthuridae,Planktivore,Reef,1
Naso tonganus,60,Acanthuridae,Browser,Reef,1
Naso tuberosus,60,Acanthuridae,Planktivore,Reef,1
Naso unicornis,70,Acanthuridae,Browser,Reef,1
Naso vlamingii,60,Acanthuridae,Planktivore,Reef,1
Naso vlamingii,60,Acanthuridae,Planktivore,Reef,1
Fistularia commersonii,160,Fistulariidae,Piscivore,Pelagic,0
Nemanthias carberryi,13,Serranidae,Planktivore,Reef,1
Nemateleotris helfrichi,6,Microdesmidae,Planktivore,Reef,1
Nemateleotris magnifica,9,Microdesmidae,Planktivore,Reef,1
Neocirrhites armatus,9,Cirrhitidae,Micro-invertivore,Reef,1
Neoglyphidodon melas,18,Pomacentridae,Micro-invertivore,Reef,1
Neoglyphidodon nigroris,13,Pomacentridae,Planktivore,Reef,1
Nebrius ferrugineus,320,Ginglymostomatidae,Pisci-invertivore,Shark,0
Neomyxus leuciscus,46,Mugilidae,Detritivore,Reef,1
Hyporhamphus acutus,30,Hemiramphidae,Planktivore,Pelagic,0
Holocentrus adscensionis,61,Holocentridae,Planktivore,Nocturnal,0
Holocentrus rufus,35,Holocentridae,Planktivore,Nocturnal,0
Myripristis adusta,35,Holocentridae,Planktivore,Nocturnal,0
Myripristis amaena,26.5,Holocentridae,Planktivore,Nocturnal,0
Neopomacentrus azysron,7.5,Pomacentridae,Planktivore,Reef,1
Neopomacentrus metallicus,6,Pomacentridae,Planktivore,Reef,1
Nes longus,10,Gobiidae,Detritivore,Reef,1
Novaculichthys taeniourus,30,Labridae,Macro-invertivore,Reef,1
Ocyurus chrysurus,86.3,Lutjanidae,Pisci-invertivore,Reef,1
Odontoscion dentex,30,Sciaenidae,Pisci-invertivore,Reef,1
Odonus niger,50,Balistidae,Planktivore,Reef,1
Omobranchus rotundiceps,10,Blenniidae,Detritivore,Reef,1
Ophioblennius macclurei,12.2,Blenniidae,Detritivore,Reef,1
Ophioblennius macclurei,12.2,Blenniidae,Detritivore,Reef,1
Ophioblennius macclurei,12.2,Blenniidae,Detritivore,Reef,1
Opistognathus aurifrons,10,Opistognathidae,Planktivore,Reef,1
Oplegnathus fasciatus,80,Oplegnathidae,Macro-invertivore,Reef,1
Oplegnathus punctatus,86,Oplegnathidae,Macro-invertivore,Reef,1
Ostorhinchus angustatus,11,Apogonidae,Planktivore,Reef,1
Ostracion cubicus,45,Ostraciidae,Micro-invertivore,Reef,1
Ostracion meleagris,25,Ostraciidae,Micro-invertivore,Reef,1
Ostracion solorensis,12,Ostraciidae,Micro-invertivore,Reef,1
Ostracion whitleyi,15.5,Ostraciidae,Micro-invertivore,Reef,1
Oxycheilinus arenatus,21,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus bimaculatus,15,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus celebicus,24,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus digramma,40,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus digramma,40,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus digramma,40,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus digramma,40,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus orientalis,20,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus rhodochrous,20,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus sp,40,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus unifasciatus,46,Labridae,Pisci-invertivore,Reef,1
Oxycheilinus unifasciatus,46,Labridae,Pisci-invertivore,Reef,1
Oxycirrhites typus,13,Cirrhitidae,Micro-invertivore,Reef,1
Oxymonacanthus longirostris,12,Monacanthidae,Micro-invertivore,Reef,1
Oxymonacanthus longirostris,12,Monacanthidae,Micro-invertivore,Reef,1
Parablennius marmoratus,15.2,Blenniidae,Detritivore,Reef,1
Paracanthurus hepatus,31,Acanthuridae,Planktivore,Reef,1
Paracirrhites arcatus,20,Cirrhitidae,Micro-invertivore,Reef,1
Paracirrhites forsteri,22,Cirrhitidae,Micro-invertivore,Reef,1
Paracirrhites hemistictus,29,Cirrhitidae,Micro-invertivore,Reef,1
Paracirrhites xanthus,10,Cirrhitidae,Micro-invertivore,Reef,1
Paradiplogrammus bairdi,11.4,Callionymidae,Micro-invertivore,Reef,1
Paragobiodon echinocephalus,4,Gobiidae,Detritivore,Reef,1
Paraluteres prionurus,11,Monacanthidae,Micro-invertivore,Reef,1
Paranthias furcifer,30,Serranidae,Planktivore,Reef,1
Parapercis clathrata,24,Pinguipedidae,Piscivore,Reef,1
Parapercis hexophtalma,29,Pinguipedidae,Piscivore,Reef,1
Parapercis hexophthalma,29,Pinguipedidae,Piscivore,Reef,1
Parapercis millepunctata,18,Pinguipedidae,Piscivore,Reef,1
Parapercis millipunctata,18,Pinguipedidae,Piscivore,Reef,1
Parapercis nebulosa,25,Pinguipedidae,Piscivore,Reef,1
Parapercis schauinslandi,18,Pinguipedidae,Piscivore,Reef,1
Parapercis schauinslandii,18,Pinguipedidae,Piscivore,Reef,1
Parapercis sp,20,Pinguipedidae,Piscivore,Reef,1
Pareques acuminatus,23,Sciaenidae,Macro-invertivore,Reef,1
Parupeneus barberinoides,30,Mullidae,Micro-invertivore,Reef,1
Parupeneus barberinus,60,Mullidae,Macro-invertivore,Reef,1
Parupeneus barberinus,60,Mullidae,Macro-invertivore,Reef,1
Parupeneus bifasciatus,35,Mullidae,Macro-invertivore,Reef,1
Parupeneus chrysonemus,19.6,Mullidae,Micro-invertivore,Reef,1
Parupeneus ciliatus,38,Mullidae,Micro-invertivore,Reef,1
Parupeneus crassilabris,38,Mullidae,Macro-invertivore,Reef,1
Parupeneus cyclostomus,50,Mullidae,Pisci-invertivore,Reef,1
Parupeneus indicus,45,Mullidae,Macro-invertivore,Reef,1
Parupeneus insularis,30,Mullidae,Macro-invertivore,Reef,1
Parupeneus macronemus,40,Mullidae,Macro-invertivore,Reef,1
Parupeneus macronemus,40,Mullidae,Macro-invertivore,Reef,1
Parupeneus multifasciatus,35,Mullidae,Macro-invertivore,Reef,1
Parupeneus multifasciatus,35,Mullidae,Macro-invertivore,Reef,1
Parupeneus orientalis,24.9,Mullidae,Macro-invertivore,Reef,1
Parupeneus pleurostigma,33,Mullidae,Macro-invertivore,Reef,1
Parupeneus porphyreus,51,Mullidae,Pisci-invertivore,Reef,1
Parupeneus rubescens,43,Mullidae,Macro-invertivore,Reef,1
Parupeneus trifasciatus,35,Mullidae,Macro-invertivore,Reef,1
Pempheris oualensis,22,Pempheridae,Planktivore,Reef,1
Pempheris schomburgki,15,Pempheridae,Planktivore,Reef,1
Pempheris vanicolensis,20,Pempheridae,Planktivore,Reef,1
Pervagor aspricaudus,13,Monacanthidae,Micro-invertivore,Reef,1
Pervagor janthinosoma,13,Monacanthidae,Micro-invertivore,Reef,1
Pervagor marginalis,6.2,Monacanthidae,Micro-invertivore,Reef,1
Pervagor melanocephalus,16,Monacanthidae,Micro-invertivore,Reef,1
Pervagor sp,10,Monacanthidae,Micro-invertivore,Reef,1
Pervagor spilosoma,18,Monacanthidae,Micro-invertivore,Reef,1
Phaeoptyx xenus,7.5,Apogonidae,Planktivore,Reef,1
Plagiotremus ewaensis,10.2,Blenniidae,Micro-invertivore,Reef,1
Plagiotremus goslinei,6.3,Blenniidae,Micro-invertivore,Reef,1
Plagiotremus laudandus,8,Blenniidae,Micro-invertivore,Reef,1
Plagiotremus rhinorhynchos,12,Blenniidae,Micro-invertivore,Reef,1
Plagiotremus taepinosoma,14,Blenniidae,Micro-invertivore,Reef,1
Plagiotremus tapeinosoma,14,Blenniidae,Micro-invertivore,Reef,1
Myripristis berndti,30,Holocentridae,Planktivore,Nocturnal,0
Myripristis chryseres,25,Holocentridae,Planktivore,Nocturnal,0
Myripristis earlei,24,Holocentridae,Planktivore,Nocturnal,0
Myripristis jacobus,25,Holocentridae,Planktivore,Nocturnal,0
Myripristis kuntee,26,Holocentridae,Planktivore,Nocturnal,0
Myripristis murdjan,60,Holocentridae,Planktivore,Nocturnal,0
Plectorhinchus albovittatus,100,Haemulidae,Pisci-invertivore,Reef,1
Plectorhinchus chaetodonoides,72,Haemulidae,Micro-invertivore,Reef,1
Plectorhinchus flavomaculatus,60,Haemulidae,Micro-invertivore,Reef,1
Plectorhinchus gibbosus,75,Haemulidae,Micro-invertivore,Reef,1
Plectorhinchus orientalis,86,Haemulidae,Micro-invertivore,Reef,1
Plectorhinchus pictus,83,Haemulidae,Micro-invertivore,Reef,1
Plectorhinchus picus,84,Haemulidae,Micro-invertivore,Reef,1
Plectorhinchus schotaf,80,Haemulidae,Micro-invertivore,Reef,1
Plectorhinchus vittatus,72,Haemulidae,Micro-invertivore,Reef,1
Plectroglyphidodon dickii,11,Pomacentridae,Micro-invertivore,Reef,1
Plectroglyphidodon flaviventris,7,Pomacentridae,Micro-invertivore,Reef,1
Plectroglyphidodon imparipennis,6,Pomacentridae,Micro-invertivore,Reef,1
Plectroglyphidodon johnstonianus,14,Pomacentridae,Corallivore,Reef,1
Plectroglyphidodon lacrymatus,10,Pomacentridae,Grazer,Reef,1
Plectroglyphidodon leucozonus,12,Pomacentridae,Grazer,Reef,1
Plectroglyphidodon phoenixensis,9,Pomacentridae,Grazer,Reef,1
Plectroglyphidodon sindonis,10,Pomacentridae,Grazer,Reef,1
Plectropomus areolatus,80,Serranidae,Piscivore,Reef,1
Plectropomus laevis,125,Serranidae,Piscivore,Reef,1
Plectropomus leopardus,120,Serranidae,Piscivore,Reef,1
Plectropomus leopardus,120,Serranidae,Piscivore,Reef,1
Plectropomus maculatus,125,Serranidae,Piscivore,Reef,1
Plectropomus pessuliferus,120,Serranidae,Piscivore,Reef,1
Plectropomus punctatus,96,Serranidae,Piscivore,Reef,1
Myripristis tiki,26.5,Holocentridae,Planktivore,Nocturnal,0
Pogonoperca punctata,35,Serranidae,Piscivore,Reef,1
Pomacanthus arcuatus,60,Pomacanthidae,Spongivore,Reef,1
Pomacanthus imperator,40,Pomacanthidae,Spongivore,Reef,1
Pomacanthus navarchus,28,Pomacanthidae,Spongivore,Reef,1
Pomacanthus paru,41.1,Pomacanthidae,Spongivore,Reef,1
Pomacanthus semicirculatus,40,Pomacanthidae,Spongivore,Reef,1
Pomacanthus sextriatus,46,Pomacanthidae,Spongivore,Reef,1
Pomacentrus adelus,8.5,Pomacentridae,Planktivore,Reef,1
Pomacentrus amboinensis,9,Pomacentridae,Spongivore,Reef,1
Pomacentrus bankanensis,9,Pomacentridae,Spongivore,Reef,1
Pomacentrus brachialis,8,Pomacentridae,Planktivore,Reef,1
Pomacentrus caeruleus,10,Pomacentridae,Planktivore,Reef,1
Pomacentrus coelestis,9,Pomacentridae,Planktivore,Reef,1
Pomacentrus indicus,11,Pomacentridae,Spongivore,Reef,1
Pomacentrus lepidogenys,9,Pomacentridae,Planktivore,Reef,1
Pomacentrus moluccensis,9,Pomacentridae,Spongivore,Reef,1
Pomacentrus nagasakiensis,11,Pomacentridae,Planktivore,Reef,1
Pomacentrus pavo,8.5,Pomacentridae,Spongivore,Reef,1
Pomacentrus philippinus,10,Pomacentridae,Planktivore,Reef,1
Pomacentrus sp,11,Pomacentridae,Micro-invertivore,Reef,1
Pomacentrus sp,10,Pomacentridae,Spongivore,Reef,1
Pomacentrus sp,10,Pomacentridae,Spongivore,Reef,1
Pomacentrus sulfureus,11,Pomacentridae,Spongivore,Reef,1
Pomacentrus trilineatus,10,Pomacentridae,Spongivore,Reef,1
Pomacentrus vaiuli,10,Pomacentridae,Spongivore,Reef,1
Pomacentrus wardi,8,Pomacentridae,Grazer,Reef,1
Pomachromis guamensis,4.5,Pomacentridae,Planktivore,Reef,1
Pomachromis richardsoni,6,Pomacentridae,Planktivore,Reef,1
Pomochromis fuscidorsalis,6,Pomacentridae,Planktivore,Reef,1
Myripristis violacea,35,Holocentridae,Planktivore,Nocturnal,0
Priacanthus hamrur,45,Priacanthidae,Pisci-invertivore,Reef,1
Priacanthus meeki,33,Priacanthidae,Pisci-invertivore,Reef,1
Priacanthus sp,33,Priacanthidae,Pisci-invertivore,Reef,1
Priolepis eugenius,5.6,Gobiidae,Detritivore,Reef,1
Priolepis hipoliti,4,Gobiidae,Detritivore,Reef,1
Prognathodes aculeatus,10,Chaetodontidae,Micro-invertivore,Reef,1
Pseudanthias bartlettorum,9,Serranidae,Planktivore,Reef,1
Pseudanthias bicolor,13,Serranidae,Planktivore,Reef,1
Pseudanthias carburyi,12,Serranidae,Planktivore,Reef,1
Pseudanthias cooperi,14,Serranidae,Planktivore,Reef,1
Pseudanthias dispar,9.5,Serranidae,Planktivore,Reef,1
Pseudanthias evansi,12,Serranidae,Planktivore,Reef,1
Pseudanthias mooreanus,7.2,Serranidae,Planktivore,Reef,1
Pseudanthias olivaceus,8.8,Serranidae,Planktivore,Reef,1
Pseudanthias pascalus,20,Serranidae,Planktivore,Reef,1
Pseudanthias squamipinnis,15,Serranidae,Planktivore,Reef,1
Pseudanthias thompsoni,22,Serranidae,Planktivore,Reef,1
Pseudanthias tuka,12,Labridae,Planktivore,Reef,1
Pseudanthias ventralis,7,Serranidae,Planktivore,Reef,1
Pseudobalistes flavimarginatus,60,Balistidae,Macro-invertivore,Reef,1
Pseudobalistes fuscus,55,Balistidae,Macro-invertivore,Reef,1
Myripristis vittata,25,Holocentridae,Planktivore,Nocturnal,0
Pseudocheilinus citrinus,6.6,Labridae,Micro-invertivore,Reef,1
Pseudocheilinus evanidus,9,Labridae,Micro-invertivore,Reef,1
Pseudocheilinus hexataenia,10,Labridae,Micro-invertivore,Reef,1
Pseudocheilinus octotaenia,14,Labridae,Micro-invertivore,Reef,1
Pseudocheilinus tetrataenia,7.5,Labridae,Micro-invertivore,Reef,1
Pseudocoris aurantiofasciata,20,Labridae,Planktivore,Reef,1
Pseudocoris heteroptera,20,Labridae,Planktivore,Reef,1
Pseudocoris yamashiroi,16,Labridae,Planktivore,Reef,1
Pseudodax moluccanus,30,Labridae,Micro-invertivore,Reef,1
Pseudojuloides atavai,13,Labridae,Micro-invertivore,Reef,1
Pseudojuloides cerasinus,12.3,Labridae,Micro-invertivore,Reef,1
Pseudolabrus fuentesi,16.5,Labridae,Micro-invertivore,Reef,1
Pseudolabrus fuentesi,16.5,Labridae,Micro-invertivore,Reef,1
Pseudolabrus semifasciatus,25,Labridae,Micro-invertivore,Reef,1
Pseudopeneus maculatus,30,Mullidae,Macro-invertivore,Reef,1
Psilogobius mainlandi,3.7,Gobiidae,Detritivore,Reef,1
Pteragogus cryptus,9.5,Labridae,Micro-invertivore,Reef,1
Pteragogus enneacanthus,15,Labridae,Micro-invertivore,Reef,1
Ptereleotris evides,14,Microdesmidae,Planktivore,Reef,1
Ptereleotris heteroptera,14,Microdesmidae,Planktivore,Reef,1
Ptereleotris microlepis,13,Microdesmidae,Planktivore,Reef,1
Ptereleotris zebra,12,Microdesmidae,Planktivore,Reef,1
Myripristis woodsi,25,Holocentridae,Planktivore,Nocturnal,0
Myrpristis amaena,27,Holocentridae,Planktivore,Nocturnal,0
Neoiphon marianus,18,Holocentridae,Pisci-invertivore,Nocturnal,0
Neoniphon argenteus,24,Holocentridae,Pisci-invertivore,Nocturnal,0
Neoniphon aurolineatus,25,Holocentridae,Pisci-invertivore,Nocturnal,0
Neoniphon opercularis,35,Holocentridae,Pisci-invertivore,Nocturnal,0
Pterois antennata,20,Scorpaenidae,Pisci-invertivore,Reef,1
Pterois sp,20,Scorpaenidae,Pisci-invertivore,Reef,1
Pterois sphex,22,Scorpaenidae,Pisci-invertivore,Reef,1
Pterois volitans,38,Scorpaenidae,Pisci-invertivore,Reef,1
Pygoplites diacanthus,25,Pomacanthidae,Spongivore,Reef,1
Neoniphon sammara,32,Holocentridae,Pisci-invertivore,Nocturnal,0
Rhinecanthus aculeatus,30,Balistidae,Micro-invertivore,Reef,1
Rhinecanthus cinereus,16.5,Balistidae,Micro-invertivore,Reef,1
Rhinecanthus lunula,28,Balistidae,Micro-invertivore,Reef,1
Rhinecanthus rectangulus,30,Balistidae,Micro-invertivore,Reef,1
Rypticus saponaceus,35,Serranidae,Pisci-invertivore,Reef,1
Sanopus greenfieldorum,35,Batrachoididae,Piscivore,Reef,1
Neoniphon sp,30,Holocentridae,Pisci-invertivore,Nocturnal,0
Plectrypops retrospinis,15,Holocentridae,Pisci-invertivore,Nocturnal,0
Priacanthus arenatus,50,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron bullisi,13,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron caudimaculatum,25,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron diadema,17,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron ensifer,23,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron microstoma,20,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron punctatissimum,23,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron sp,20,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron spiniferum,51,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron tiere,33,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron vexillarium,18,Holocentridae,Pisci-invertivore,Nocturnal,0
Saurida flamma,30.5,Synodontidae,Piscivore,Reef,1
Saurida gracilis,32,Synodontidae,Piscivore,Reef,1
Scarus altipinnis,60,Scaridae,Excavator/scraper,Reef,1
Scarus altrilunula,60,Scaridae,Excavator/scraper,Reef,1
Scarus caudofasciatus,50,Scaridae,Excavator/scraper,Reef,1
Scarus chameleon,31,Scaridae,Excavator/scraper,Reef,1
Scarus coelestinus,77,Scaridae,Excavator/scraper,Reef,1
Scarus coeruleus,120,Scaridae,Excavator/scraper,Reef,1
Scarus dimidiatus,40,Scaridae,Excavator/scraper,Reef,1
Scarus dubius,35.6,Scaridae,Excavator/scraper,Reef,1
Scarus falcipinnis,60,Scaridae,Excavator/scraper,Reef,1
Scarus festivus,45,Scaridae,Excavator/scraper,Reef,1
Scarus flavipectoralis,40,Scaridae,Excavator/scraper,Reef,1
Scarus forsteni,55,Scaridae,Excavator/scraper,Reef,1
Scarus forsteni,55,Scaridae,Excavator/scraper,Reef,1
Scarus frenatus,47,Scaridae,Excavator/scraper,Reef,1
Scarus frenatus,47,Scaridae,Excavator/scraper,Reef,1
Scarus fuscocaudalis,25,Scaridae,Excavator/scraper,Reef,1
Scarus ghobban,90,Scaridae,Excavator/scraper,Reef,1
Scarus globiceps,27,Scaridae,Excavator/scraper,Reef,1
Scarus guacamaia,120,Scaridae,Excavator/scraper,Reef,1
Scarus iserti,35,Scaridae,Excavator/scraper,Reef,1
Scarus japanensis,31,Scaridae,Excavator/scraper,Reef,1
Scarus longipinnis,40,Scaridae,Excavator/scraper,Reef,1
Scarus niger,40,Scaridae,Excavator/scraper,Reef,1
Scarus oviceps,35,Scaridae,Excavator/scraper,Reef,1
Scarus prasiognathos,70,Scaridae,Excavator/scraper,Reef,1
Scarus psittacus,30,Scaridae,Excavator/scraper,Reef,1
Scarus rivulatus,40,Scaridae,Excavator/scraper,Reef,1
Scarus rubroviolaceus,70,Scaridae,Excavator/scraper,Reef,1
Scarus scaber,37,Scaridae,Excavator/scraper,Reef,1
Scarus schlegeli,40,Scaridae,Excavator/scraper,Reef,1
Scarus sp,50,Scaridae,Excavator/scraper,Reef,1
Scarus sp,50,Scaridae,Excavator/scraper,Reef,1
Scarus sp,50,Scaridae,Excavator/scraper,Reef,1
Scarus sp,50,Scaridae,Excavator/scraper,Reef,1
Scarus spinus,30,Scaridae,Excavator/scraper,Reef,1
Scarus taeniopterus,35,Scaridae,Excavator/scraper,Reef,1
Scarus tricolor,26.6,Scaridae,Excavator/scraper,Reef,1
Scarus vetula,61,Scaridae,Excavator/scraper,Reef,1
Scarus viridifucatus,45,Scaridae,Excavator/scraper,Reef,1
Scarus xanthopleura,54,Scaridae,Excavator/scraper,Reef,1
Scolopsis bilineata,25,Nemipteridae,Micro-invertivore,Reef,1
Scolopsis bilineata,25,Nemipteridae,Micro-invertivore,Reef,1
Scolopsis ciliata,25,Nemipteridae,Micro-invertivore,Reef,1
Scolopsis frenatus,26,Nemipteridae,Micro-invertivore,Reef,1
Scolopsis lineata,25,Nemipteridae,Micro-invertivore,Reef,1
Scolopsis lineata,25,Nemipteridae,Micro-invertivore,Reef,1
Scolopsis margaritifera,28,Nemipteridae,Micro-invertivore,Reef,1
Scolopsis trilineatus,26,Nemipteridae,Micro-invertivore,Reef,1
Sargocentron wilhelmi,19.5,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentron xantherythrum,17,Holocentridae,Pisci-invertivore,Nocturnal,0
Sargocentrun corsuscum,15,Holocentridae,Pisci-invertivore,Nocturnal,0
Scorpaena grandicornis,30,Scorpaenidae,Pisci-invertivore,Reef,1
Scorpaena orgila,38,Scorpaenidae,Pisci-invertivore,Reef,1
Scorpaena plumieri,45,Scorpaenidae,Pisci-invertivore,Reef,1
Scorpaenodes caribbaeus,12,Scorpaenidae,Micro-invertivore,Reef,1
Scorpaenodes kelloggi,5,Scorpaenidae,Micro-invertivore,Reef,1
Scorpaenodes parvipinnis,14,Scorpaenidae,Micro-invertivore,Reef,1
Scorpaenopsis cacopsis,51,Scorpaenidae,Piscivore,Reef,1
Scorpaenopsis diabolus,30,Scorpaenidae,Pisci-invertivore,Reef,1
Scorpaenopsis oxycephala,36,Scorpaenidae,Pisci-invertivore,Reef,1
Scorpaenopsis sp,30,Scorpaenidae,Pisci-invertivore,Reef,1
Scuticaria tigrinus,120,Muraenidae,Piscivore,Reef,1
Sebastapistes coniorta,10,Scorpaenidae,Micro-invertivore,Reef,1
Sebastapistes cyanostigma,10,Scorpaenidae,Micro-invertivore,Reef,1
Sebastapistes sp,10,Scorpaenidae,Micro-invertivore,Reef,1
Kyphosus sectatrix,76,Kyphosidae,Browser,Mangroves,0
Sectator ocyurus,59,Kyphosidae,NA,Pelagic,0
UNKNOWN UNKNOWN,0,Labridae,NA,Unk,0
Serranus baldwini,12,Serranidae,Pisci-invertivore,Reef,1
Serranus tabacarius,22,Serranidae,Pisci-invertivore,Reef,1
Serranus tigrinus,29,Serranidae,Macro-invertivore,Reef,1
Serranus tigrinus ,101,Serranidae,Macro-invertivore,Reef,1
Serranus tortugarum,8,Serranidae,Planktivore,Reef,1
Siganus argenteus,40,Siganidae,Grazer,Reef,1
Siganus corallinus,35,Siganidae,Grazer,Reef,1
Siganus doliatus,25,Siganidae,Grazer,Reef,1
Siganus guttatus,42,Siganidae,Grazer,Reef,1
Siganus lineatus,43,siganidae,Grazer,Reef,1
Siganus puelloides,31,Siganidae,Grazer,Reef,1
Siganus puellus,38,Siganidae,Grazer,Reef,1
Siganus punctatus,40,Siganidae,Grazer,Reef,1
Siganus spinus,28,Siganidae,Grazer,Reef,1
Siganus stellatus,40,Siganidae,Grazer,Reef,1
Siganus sutor,45,Siganidae,Grazer,Reef,1
Siganus uspi,24,Siganidae,Grazer,Reef,1
Siganus vulpinus,25,Siganidae,Grazer,Reef,1
Sparisoma atomarium,25,Scaridae,Excavator/scraper,Reef,1
Sparisoma aurofrenatum,28,Scaridae,Excavator/scraper,Reef,1
Sparisoma chrysopterum,46,Scaridae,Excavator/scraper,Reef,1
Sparisoma rubripinne,47.8,Scaridae,Excavator/scraper,Reef,1
Sparisoma rubripinne,47.8,Scaridae,Excavator/scraper,Reef,1
Sparisoma viride,64,Scaridae,Excavator/scraper,Reef,1
Sphoeroides sphengleri,30,Tetraodontidae,Macro-invertivore,Reef,1
UNKNOWN UNKNOWN,0,Labridae,NA,Unk,0
UNKNOWN UNKNOWN,0,Labridae,NA,Unk,0
UNKNOWN UNKNOWN,0,Labridae,NA,Unk,0
Aphareus furca,70,Lutjanidae,Piscivore,Pelagic,0
Manta birostris,910,Mobulidae,Planktivore,Pelagic,0
Aetobatus narinari,330,Myliobatidae,NA,Pelagic,0
Starksia nanodes,2.2,Labrisomidae,Detritivore,Reef,1
Stegastes adustus,15,Pomacentridae,Grazer,Reef,1
Stegastes albifasciatus,13,Pomacentridae,Grazer,Reef,1
Stegastes apicalis,15,Pomacentridae,Grazer,Reef,1
Stegastes aureus,11,Pomacentridae,Grazer,Reef,1
Stegastes diencaeus,12.5,Pomacentridae,Grazer,Reef,1
Stegastes emeryi,10,Pomacentridae,Grazer,Reef,1
Stegastes fasciolatus,16.5,Pomacentridae,Grazer,Reef,1
Stegastes leucostictus,10,Pomacentridae,Grazer,Reef,1
Stegastes lividus,13,Pomacentridae,Grazer,Reef,1
Stegastes nigricans,14,Pomacentridae,Grazer,Reef,1
Stegastes partitus,10,Pomacentridae,Grazer,Reef,1
Stegastes planifrons,13,Pomacentridae,Grazer,Reef,1
Stegastes sp,13,Pomacentridae,Grazer,Reef,1
Stegastes variabilis,12.5,Pomacentridae,Grazer,Reef,1
Stethojulis albovittata,14,Labridae,Micro-invertivore,Reef,1
Stethojulis balteata,15,Labridae,Micro-invertivore,Reef,1
Stethojulis bandanensis,15,Labridae,Micro-invertivore,Reef,1
Stethojulis bandanensis,15,Labridae,Micro-invertivore,Reef,1
Stethojulis strigiventer,15,Labridae,Micro-invertivore,Reef,1
Stethojulis trilineata,15,Labridae,Micro-invertivore,Reef,1
Aetobatus narinari,330,Myliobatidae,NA,Pelagic,0
Sufflamen bursa,25,Balistidae,Micro-invertivore,Reef,1
Sufflamen chrysopterum,30,Balistidae,Micro-invertivore,Reef,1
Sufflamen fraenatum,38,Balistidae,Micro-invertivore,Reef,1
Sufflamen fraenatus,38,Balistidae,Micro-invertivore,Reef,1
Sufflamen frenatus,38,Balistidae,Micro-invertivore,Reef,1
Syacium micrurum,40,Paralichthyidae,Micro-invertivore,Reef,1
Synchiropus stellatus,7.5,Callionymidae,Micro-invertivore,Reef,1
Synodus binotatus,18,Synodontidae,Piscivore,Reef,1
