,,,,,,,,,,,MacNeil et al. ,,In review paper from Ivor,Ivor most recent,,,,,,,,,
spp,SPECIES,FAMILY,family,COMMONFAMILYALL,TROPHIC_MONREP,A2_guild,TOPHIC_MONREP,size,habitat,Included,fg,EDITED,A2_fg,Ivor_F1,Ivor_F2,A2_size,A2_schooling,Ivor_guild,criteria,,,,
Cheilodactylus vittatus,NA,NA,Cheilodactylidae,NA,NA,NA,NA,60,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chelmon rostratus,NA,NA,Chaetodontidae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chelonodon patoca,NA,NA,Tetraodontidae,NA,NA,NA,NA,38,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chilomycterus antennatus,NA,NA,Diodontidae,NA,NA,NA,NA,38,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chilomycterus schoepfi,NA,NA,Diodontidae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chlorurus atrilunula,NA,NA,Scaridae,NA,NA,NA,NA,30,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Chlorurus bleekeri,NA,NA,Scaridae,NA,NA,NA,NA,49,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Chlorurus capistratoides,NA,NA,Scaridae,NA,NA,NA,NA,40,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Chlorurus enneacanthus,NA,NA,Scaridae,NA,NA,NA,NA,50,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Chlorurus gibbus,NA,NA,Scaridae,NA,NA,NA,NA,70,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Chlorurus strongylocephalus,NA,NA,Scaridae,NA,NA,NA,NA,70,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Chlorurus strongylocephalus,NA,NA,Scaridae,NA,NA,NA,NA,70,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Choerodon anchorago,NA,NA,Labridae,NA,NA,NA,NA,50,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Choerodon fasciatus,NA,NA,Labridae,NA,NA,NA,NA,30,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Choerodon graphicus,NA,NA,Labridae,NA,NA,NA,NA,51.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chromis bami,NA,NA,Pomacentridae,NA,NA,NA,NA,5.8,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chromis cyanea,NA,NA,Pomacentridae,NA,NA,NA,NA,15,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chromis dimidiata,NA,NA,Pomacentridae,NA,NA,NA,NA,9,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chromis insolata,NA,NA,Pomacentridae,NA,NA,NA,NA,16,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chromis multilineata,NA,NA,Pomacentridae,NA,NA,NA,NA,20,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chromis nigrura,NA,NA,Pomacentridae,NA,NA,NA,NA,6,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chromis opercularis,NA,NA,Pomacentridae,NA,NA,NA,NA,17,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chromis pamae,NA,NA,Pomacentridae,NA,NA,NA,NA,10.4,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chromis randalli,NA,NA,Pomacentridae,NA,NA,NA,NA,15,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chromis xutha,NA,NA,Pomacentridae,NA,NA,NA,NA,7,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chrysiptera galba,NA,NA,Pomacentridae,NA,NA,NA,NA,7,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Chrysiptera rapanui,NA,NA,Pomacentridae,NA,NA,NA,NA,5.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chrysiptera rex,NA,NA,Pomacentridae,NA,NA,NA,NA,7,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Chrysiptera rollandi,NA,NA,Pomacentridae,NA,NA,NA,NA,7.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Chrysiptera talboti,NA,NA,Pomacentridae,NA,NA,NA,NA,6,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
