"","spp","SPECIES","FAMILY","COMMONFAMILYALL","TROPHIC_MONREP","size","family","fg","habitat","Included"
"75","Aprion virescens","APVI","Lutjanidae","Snapper","PISCIVORE",112,"Lutjanidae","Piscivore","Reef",1
"76","Arothron hispidus","ARHI","Tetraodontidae","Pufferfish","SECONDARY",50,"Tetraodontidae","Macro-invertivore","Reef",1
"77","Arothron mappa","ARMA","Tetraodontidae","Pufferfish","SECONDARY",65,"Tetraodontidae","Macro-invertivore","Reef",1
"78","Arothron meleagris","ARME","Tetraodontidae","Pufferfish","SECONDARY",50,"Tetraodontidae","Corallivore","Reef",1
"79","Arothron nigropunctatus","ARNI","Tetraodontidae","Pufferfish","SECONDARY",33,"Tetraodontidae","Corallivore","Reef",1
"80","Arothron stellatus","ARST","Tetraodontidae","Pufferfish","SECONDARY",120,"Tetraodontidae","Macro-invertivore","Reef",1
"81","Aspidontus taeniatus","ASTA","Blenniidae","Blenny","SECONDARY",11.5,"Blenniidae","Micro-invertivore","Reef",1
"82","Aulostomus chinensis","AUCH","Aulostomidae","Trumpetfish","PISCIVORE",80,"Aulostomidae","Piscivore","Reef",1
"83","Balistapus undulatus","BAUN","Balistidae","Triggerfish","SECONDARY",30,"Balistidae","Macro-invertivore","Reef",1
"84","Balistapus undulatus","BAUN","Balistidae","Triggerfish","SECONDARY",30,"Balistidae","Macro-invertivore","Reef",1
"85","Balistes polylepis","BAPO","Balistidae","Triggerfish","SECONDARY",76,"Balistidae","Macro-invertivore","Reef",1
"86","Balistoides conspicillum","BACO","Balistidae","Triggerfish","SECONDARY",50,"Balistidae","Macro-invertivore","Reef",1
"87","Balistoides conspicillum","BACO","Balistidae","Triggerfish","SECONDARY",50,"Balistidae","Macro-invertivore","Reef",1
"88","Balistoides viridescens","BAVI","Balistidae","Triggerfish","SECONDARY",75,"Balistidae","Macro-invertivore","Reef",1
"89","Belonoperca chabanaudi","BECH","Serranidae","Grouper","SECONDARY",15,"Serranidae","Piscivore","Reef",1
"90","Blenniella chrysospilos","BLCH","Blenniidae","Blenny","PLANKTIVORE",13,"Blenniidae","Detritivore","Reef",1
"91","Bodianus anthioides","BOAN","Labridae","Wrasse","PLANKTIVORE",24,"Labridae","Micro-invertivore","Reef",1
"92","Bodianus axillaris","BOAX","Labridae","Wrasse","SECONDARY",20,"Labridae","Micro-invertivore","Reef",1
"93","Bodianus bilunulatus","BOBI","Labridae","Wrasse","SECONDARY",55,"Labridae","Micro-invertivore","Reef",1
"94","Bodianus diana","BODI","Labridae","Wrasse","SECONDARY",16.9,"Labridae","Micro-invertivore","Reef",1
"95","Bodianus loxozonus","BOLO","Labridae","Wrasse","SECONDARY",47,"Labridae","Micro-invertivore","Reef",1
"96","Bodianus mesothorax","BOME","Labridae","Wrasse","SECONDARY",25,"Labridae","Micro-invertivore","Reef",1
"97","Bodianus prognathus","BOPR","Labridae","Wrasse","SECONDARY",17.9,"Labridae","Micro-invertivore","Reef",1
"98","Bolbometopon muricatum","BOMU","Scaridae","Parrotfish","SECONDARY",130,"Scaridae","Excavator/scraper","Reef",1
"99","Bothus mancus","BOMA","Bothidae","Flounder","SECONDARY",51,"Bothidae","Micro-invertivore","Reef",1
"100","Brotula multibarbata","BRMU","Ophidiidae","Cusk Eel","SECONDARY",100,"Ophidiidae","Macro-invertivore","Reef",1
"101","Caesio caerulaurea","CACE","Caesionidae","Fusilier","PLANKTIVORE",35,"Caesionidae","Planktivore","Reef",1
"102","Caesio lunaris","CALN","Caesionidae","Fusilier","PLANKTIVORE",40,"Caesionidae","Planktivore","Reef",1
"103","Caesio teres","CATE","Caesionidae","Fusilier","PLANKTIVORE",40,"Caesionidae","Planktivore","Reef",1
"104","Calotomus carolinus","CACA","Scaridae","Parrotfish","PRIMARY",54,"Scaridae","Browser","Reef",1
"105","Calotomus zonarchus","CAZO","Scaridae","Parrotfish","PRIMARY",33,"Scaridae","Browser","Reef",1
"106","Cantherhines dumerilii","CADU","Monacanthidae","Filefish","SECONDARY",38,"Monacanthidae","Micro-invertivore","Reef",1
"107","Cantherhines pardalis","CAPA","Monacanthidae","Filefish","PRIMARY",25,"Monacanthidae","Micro-invertivore","Reef",1
"108","Cantherhines sandwichiensis","CASA","Monacanthidae","Filefish","PRIMARY",19.3,"Monacanthidae","Spongivore","Reef",1
"109","Cantherhines verecundus","CAVE","Monacanthidae","Filefish","PRIMARY",12.5,"Monacanthidae","Micro-invertivore","Reef",1
"110","Canthigaster amboinensis","CAAM","Tetraodontidae","Pufferfish","PRIMARY",15,"Tetraodontidae","Micro-invertivore","Reef",1
"111","Canthigaster bennetti","CABE","Tetraodontidae","Pufferfish","PRIMARY",10,"Tetraodontidae","Micro-invertivore","Reef",1
"112","Canthigaster coronata","CACO","Tetraodontidae","Pufferfish","PRIMARY",11,"Tetraodontidae","Micro-invertivore","Reef",1
"113","Canthigaster epilampra","CAEP","Tetraodontidae","Pufferfish","PRIMARY",12,"Tetraodontidae","Micro-invertivore","Reef",1
"114","Canthigaster jactator","CAJA","Tetraodontidae","Pufferfish","PRIMARY",9,"Tetraodontidae","Micro-invertivore","Reef",1
"115","Canthigaster janthinoptera","CAJN","Tetraodontidae","Pufferfish","PRIMARY",9,"Tetraodontidae","Micro-invertivore","Reef",1
"116","Canthigaster solandri","CASO","Tetraodontidae","Pufferfish","PRIMARY",11.5,"Tetraodontidae","Micro-invertivore","Reef",1
"117","Canthigaster valentini","CAVA","Tetraodontidae","Pufferfish","PRIMARY",11,"Tetraodontidae","Micro-invertivore","Reef",1
"118","Caracanthus maculatus","CAMC","Caracanthidae","Velvetfish","SECONDARY",5,"Caracanthidae","Piscivore","Reef",1
"119","Caracanthus typicus","CATY","Caracanthidae","Velvetfish","SECONDARY",2.9,"Caracanthidae","Piscivore","Reef",1
"120","Carangoides ferdau","CAFE","Carangidae","Jack","PISCIVORE",70,"Carangidae","Piscivore","Pelagic",0
"121","Carangoides orthogrammus","CAOR","Carangidae","Jack","PISCIVORE",75,"Carangidae","Piscivore","Pelagic",0
