spp,A2_guild,A2_fg,A2_size,A2_schooling
Thalassoma purpureum,Carnivore,Generalist carnivore,43,3
Thalassoma quinquevittatum,Carnivore,Invertivore,17,3
Thalassoma trilobatum,Carnivore,Invertivore,33,3
Thalassoma sp.,Carnivore,Invertivore,17.6,3
Labridae sp.,Carnivore,Invertivore,26.8,3
Gnathodentex aureolineatus,Carnivore,Invertivore,30,5
Lethrinus harak,Carnivore,Invertivore,32,3
Lethrinus obsoletus,Carnivore,Invertivore,50,3
Lethrinus olivaceus,Carnivore,Generalist carnivore,100,4
Lethrinus rubrioperculatus,Carnivore,Diurnal piscivore,39.5,4
Lethrinus xanthochilus,Carnivore,Generalist carnivore,62,1
Lethrinus sp.,Carnivore,Generalist carnivore,86,4
Monotaxis grandoculis,Carnivore,Invertivore,63,4
Aphareus furca,Carnivore,Nocturnal piscivore,70,3
Aprion virescens,Carnivore,Nocturnal piscivore,112,3
Lutjanus bohar,Carnivore,Nocturnal piscivore,90,4
Lutjanus fulvus,Carnivore,Generalist carnivore,43,3
Lutjanus gibbus,Carnivore,Generalist carnivore,53,4
Lutjanus kasmira,Carnivore,Invertivore,40,5
Lutjanus monostigma,Carnivore,Nocturnal piscivore,60,3
Lutjanus semicinctus,Carnivore,Generalist carnivore,35,3
Macolor macularis,Planktivore,Nocturnal planktivore,60,4
Macolor niger,Planktivore,Nocturnal planktivore,75,4
Malacanthus brevirostris,Carnivore,Invertivore,30,2
Malacanthus latovittatus,Carnivore,Invertivore,45,2
Gunnellichthys curiosus,Planktivore,Diurnal planktivore,12,2
Microdesmidae sp.,Planktivore,Diurnal planktivore,9.7,3
Manta birostris,Planktivore,Diurnal planktivore,800,1
Aluterus scriptus,Omnivore,Benthic omnivore,76,1
Amanses scopas,Carnivore,Corallivore,20,1
Cantherhines dumerilii,Carnivore,Corallivore,38,2
Cantherhines pardalis,Carnivore,Invertivore,25,1
Cantherhines sandwichiensis,Herbivore,Grazer,20,1
Cantherhines verecundus,Omnivore,Benthic omnivore,16,1
Pervagor aspricaudus,Omnivore,Benthic omnivore,14,1
Pervagor janthinosoma,Omnivore,Benthic omnivore,13.5,2
Pervagor marginalis,Omnivore,Benthic omnivore,8.2,2
Pervagor melanocephalus,Omnivore,Benthic omnivore,10,2
Pervagor spilosoma,Omnivore,Benthic omnivore,18,2
Pervagor sp.,Omnivore,Benthic omnivore,18,2
Monacanthidae sp.,Omnivore,Benthic omnivore,21.2,2
Mulloidichthys flavolineatus,Carnivore,Invertivore,40,4
Mulloidichthys mimicus,Carnivore,Invertivore,30,3
Mulloidichthys vanicolensis,Carnivore,Invertivore,38,4
Parupeneus barberinus,Carnivore,Invertivore,50,2
Parupeneus chrysonemus,Carnivore,Invertivore,22,3
Parupeneus cyclostomus,Carnivore,Diurnal piscivore,50,1
Parupeneus insularis,Carnivore,Invertivore,33,3
Parupeneus multifasciatus,Carnivore,Invertivore,38,3
Parupeneus pleurostigma,Carnivore,Invertivore,33,3
Parupeneus porphyreus,Carnivore,Invertivore,51,3
Mullidae sp.,Carnivore,Invertivore,39,3
Echidna nebulosa,Carnivore,Invertivore,75,1
Gymnothorax breedeni,Carnivore,Nocturnal piscivore,75,1
Gymnothorax eurostus,Carnivore,Generalist carnivore,60,1
Gymnothorax flavimarginatus,Carnivore,Nocturnal piscivore,240,1
Gymnothorax javanicus,Carnivore,Nocturnal piscivore,300,1
Gymnothorax meleagris,Carnivore,Nocturnal piscivore,120,1
Gymnothorax undulatus,Carnivore,Nocturnal piscivore,150,1
Gymnothorax sp.,Carnivore,Nocturnal piscivore,300,1
Muraenidae sp.,Carnivore,Nocturnal piscivore,149.2,1
Aetobatus narinari,Carnivore,Invertivore,350,1
Oplegnathus fasciatus,Carnivore,Invertivore,80,3
Oplegnathus punctatus,Carnivore,Invertivore,86,3
Ostracion cubicus,Omnivore,Benthic omnivore,45,1
Ostracion meleagris,Omnivore,Benthic omnivore,28,1
Ostracion whitleyi,Omnivore,Benthic omnivore,16,1
Ostraciidae sp.,Omnivore,Benthic omnivore,25.8,1
Pempheris oualensis,Planktivore,Nocturnal planktivore,23,4
Parapercis clathrata,Carnivore,Generalist carnivore,18,1
Parapercis millepunctata,Carnivore,Generalist carnivore,19,1
Parapercis schauinslandii,Carnivore,Generalist carnivore,18,1
Pinguipedidae sp.,Carnivore,Generalist carnivore,18.4,1
Apolemichthys arcuatus,Carnivore,Invertivore,18,3
Apolemichthys griffisi,Carnivore,Invertivore,25,3
Apolemichthys trimaculatus,Carnivore,Invertivore,25,3
